PALLAVI,2026_DOFWB_70043_1,"Procurement of Equipment for the Govt. farms / hatcheries for Chakmaghat FSC i.e. procurement of FRP Carp hatchery unit (Breeding pools, Hatching pool, Spawn/Egg Collection tank",Goods,Department of Fisheries(WB Tenders),,"22,500",,,TRIPURA,Chakmaghat,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70298_1,Repairing of 15 Fifteen nos Dysfunctional Girls Toilet in 15 nos School under Teliamura and Kalyanpur RD Block of Khowai District Tripura for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"45,000",,"22,50,000",TRIPURA,Teliamura and Kalyaanpur Khowai,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70314_1,Minor Work Maintenance at Office of the Inspector of Schools Jirania under Jirania Block of West Tripura for the year of 2025-26,Works,Director - Directorate of Secondary Education,,"6,000",,"3,00,000",TRIPURA,West Tripura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70312_1,Minor Work Maintenance of Gurupadha T C S B School under Belbari RD Block under West Tripura District for the year 2025-26,Works,Director - Directorate of Secondary Education,,"5,800",,"2,90,000",TRIPURA,"Jirania, Mandai, West Tripura",Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70316_1,Minor Work at Kalyanpur Totabari High School under Kalyanpur Block Khowai District for the year 2025-26,Works,Director - Directorate of Secondary Education,,"14,000",,"7,00,000",TRIPURA,West Tripura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70317_1,Maintenance Minor Work at Kamalnagar High School under Kalyanpur Block Khowai District for the year 2025-26,Works,Director - Directorate of Secondary Education,,"8,000",,"4,00,000",TRIPURA,Khowai district,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DOFWB_70052_1,"Up-gradation of the Training Hall of Fish Health Investigation Centre, Collegetilla, West Tripura",Works,Department of Fisheries(WB Tenders),,"35,373",,,TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_70291_1,"Development of road from the House of Sadhana Chowdhury to Kabarkhola (Length is 0.190 km) at AMC Ward no_12 during the year 2025_26_SH_ Dismantaling , Brick Work ,Sand filling ,Paver Block and other allied work s(2nd Call)",Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Second Circle||EE Agartala Division No III",,"47,907",,"23,95,371",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70302_1,Repairing of 09 Nine nos Dysfunctional Toilet under Jubarajnagar and KadamtalaBlock of North Tripura District for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"26,606",,"13,30,294",TRIPURA,Jubarajnagar North Tripura,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_70266_1,Incidental repairing and servicing of existing ROUF based Water purifiers and water coolers installed at different locations under AGMC GBP Hospital and 1 years Comprehensive AMC of the water purifier along with weekly checking of the water purifier,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mechanical Division",,"26,431",,"13,21,557",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_69915_1,1 Providing installation and commissioning of 02 Nos. 21 TR and 01one no 165 TR Air cooled Ducted packaged air conditioner in the Hall No1 of Pragna Bhavan Capital Complex Agartala,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mechanical Division",,"57,203",,"28,60,133",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70281_1,Construction of RCC drain from Tapas Bhadra house to OCN (CH 0.00 M to 105.00 M) under Bishalgarh Municipal Council. Ward No 06,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"8,100",,"4,04,958",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70245_1,Construction of Cement Concrete road from Digendra Chandra Saha house to Sankar Saha house under Bishalgarh Municipal Council. W/No 4,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"7,134",,"3,56,705",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70249_1,Construction of CC road with RCC drain from Firoj Miah house to Santu Shil house under Bishalgarh Municipal Council. WNo 04. CH 0.00 M to 100.00 M,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"11,184",,,TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_CEPWD_70392_1,Annual Maintenance Contract AMC incidental repair of Air Conditioning Machines were installed in the Belonia Sub Divisional Hospital Belonia for the year 202526,Works,"Chief Engineer, PWD (R and B)||SE, PWD (R and B), Fourth Circle||EE PWD (R and B) Mechanical Division",,"17,025",,"8,51,245",TRIPURA,Agartala,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70257_1,Construction of CC road including RCC drain with cover slab from Gopal Roy house to near Tutan Saha house at West Laxmibill under Bishalgarh Municipal Council. WNo - 05.,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"13,175",,"6,58,750",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_DDSE_70263_1,Repairing of 06 nos Dysfunctional toilet under Hrishyamukh Block of South Tripura for the year 2025-26.,Works,Director - Directorate of Secondary Education,,"18,000",,"9,00,000",TRIPURA,Hrishyamukh South,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_Urban_70264_1,Construction of Cement Concrete road from Judhisthir Ghosh house to Benu Sharma house at West Laxmibill under Bishalgarh Municipal Council. WNo - 05,Works,Director (Urban Development Department)||Joint Director (Urban Development Department)||Bishalghar Municipal Council,,"4,677",,"2,33,843",TRIPURA,Bishalgarh,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 15:00:00
PALLAVI,2026_OSD_69766_1,"Supply, Installation and configuration or Commissioning and Testing of Video Conferencing System for use in Dept. of Respiratory Medicine, AGMC and GBP Hospitsal, Agartala, West Tripura",Goods,Director of Health Services||Medical Supt. - AGMC and GBP Hospital||OSD - AGMC and GBP Hospital,,"15,000",,"3,00,000",TRIPURA,AGMC and GBPH,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69742_1,Settlement of Fatikroy CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"6,826",,"1,36,520",TRIPURA,Fatikroy,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69744_1,Settlement of Kumarghat CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"42,912",,"8,58,236",TRIPURA,Kumarghat,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69746_1,Settlement of Kanchanbari CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"9,917",,"1,98,334",TRIPURA,Kanchanbari,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69730_1,Settlement of Kailashahar Bazar CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"33,530",,"6,70,592",TRIPURA,Kailashahar,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69732_1,Settlement of Chinibagan CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"2,138",,"42,750",TRIPURA,Chinibagan,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69734_1,Settlement of Gournagar CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"4,166",,"83,322",TRIPURA,Gournagar,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69738_1,Settlement of Dalogaun CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"4,096",,"81,914",TRIPURA,Dalogaun,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69726_1,Settlement of Jamthailcherra CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"6,724",,"1,34,476",TRIPURA,Jamthailcherra,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_Excis_69740_1,Settlement of Pabiacherra CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Unakoti District,,"40,278",,"8,05,558",TRIPURA,Pabiacherra,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:00:00
PALLAVI,2026_FISH_69822_1,"Supply of 7 cm above Major carp fingerlings in body length to the different gram panchayat/village council and Municipal Council of Bishalgarh Sub-Division, Sepahijala for implementation of different Pisciculture schemes",Goods,Directorate of Fisharies||Bishalgarh Sub Division,,"35,280",,"11,76,000",TRIPURA,Different GP/ VC and MC of Bishalgarh Sub-division,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69701_1,Settlement of Kakraban CL Shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"6,350",,"1,27,000",TRIPURA,Kakraban,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69709_1,Settlement of Maharani CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"4,235",,"84,700",TRIPURA,Maharani,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69710_1,Settlement of Amarpur CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"8,841",,"1,76,826",TRIPURA,Amarpur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69694_1,Settlement of Udaipur CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"21,126",,"4,22,526",TRIPURA,Udaipur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69698_1,Settlement of Bagma CL Shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"15,517",,"3,10,334",TRIPURA,Bagma,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69768_1,Settlement,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Dhalai District,,"5,927",,"1,18,540",TRIPURA,Kamalpur,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69772_1,Settlement,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Dhalai District,,"4,000",,"80,004",TRIPURA,Masli,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69763_1,Settlement,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Dhalai District,,"7,013",,"1,40,268",TRIPURA,Kulai,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
PALLAVI,2026_Excis_69712_1,Settlement of Ompi CL shop,Services,Commisioner of Excise||Additional Commissioner of Taxes||Collector of Excise-Gomati District,,"6,705",,"1,34,094",TRIPURA,Ompi,Online,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,https://tripuratenders.gov.in/nicgep/app,20-02-2026 17:30:00
